filename,lineno,func,prim_calls,total_calls,tottime,cumtime
zmqstream.py,574,_handle_events,2,2,3.1647000000000004e-05,0.0018809380000000002
jsonutil.py,108,json_default,2,2,8.922e-06,3.1864000000000005e-05
zmqstream.py,615,_handle_recv,2,2,1.2707e-05,0.001518161
iostream.py,495,_flush,1,1,2.1762000000000003e-05,0.000432263
iostream.py,90,_event_pipe,1,1,2.657e-06,2.657e-06
numeric.py,460,count_nonzero,790516,790516,0.49425422500000005,0.854673564
numeric.py,1373,normalize_axis_tuple,4,4,4.4343000000000006e-05,5.2532000000000005e-05
_internal.py,448,_promote_fields,1,1,0.00010337200000000001,0.00013379
fromnumeric.py,69,_wrapreduction,3181038,3181038,7.376737481,21.647988035
numeric.py,1437,moveaxis,2,2,3.529e-05,0.000104307
_ufunc_config.py,410,__enter__,15,15,7.7749e-05,0.00018796900000000002
_ufunc_config.py,434,inner,1,1,4.7281000000000004e-05,5.3402e-05
getlimits.py,487,__new__,1581032,1581032,0.9896617780000001,1.628911773
einsumfunc.py,1057,einsum,402,402,0.001664773,0.213024596
_internal.py,261,__init__,3887,3887,0.008205190000000001,0.008225444
_linalg.py,148,_commonType,15,15,0.00012203600000000001,0.000196793
_function_base_impl.py,249,flip,4,4,3.9708e-05,5.1713000000000004e-05
_stride_tricks_impl.py,349,_broadcast_to,218,218,0.005290406,0.007316225000000001
_arraysetops_impl.py,144,unique,1573491,1573491,3.7909068250000004,30.462550012
_arraysetops_impl.py,342,_unique1d,1573491,1573491,17.064253504,25.042597599
_function_base_impl.py,1324,diff,31,31,0.0005754740000000001,0.0006194260000000001
numpy_helper.py,574,transpose,233,233,0.5860565550000001,0.591163658
linalg_helper.py,166,_fill_heff_hermitian,109,109,0.7238337,0.7303009730000001
numpy_helper.py,256,pack_tril,15,15,0.015327387000000001,0.015656261
linalg_helper.py,1409,_qr,15,15,0.043370416,0.052445117000000006
misc.py,702,check_sanity,15,15,0.000262267,0.000365364
numpy_helper.py,478,take_2d,109,109,0.252840467,0.260458142
linalg_helper.py,1466,_sort_elast,94,94,0.006647839,0.010688439000000001
linalg_helper.py,1490,_normalize_xt_,97,97,0.6804265220000001,0.68364502
_util.py,410,_asarray_validated,109,109,0.00181692,0.016227281
linalg_helper.py,291,davidson1,15,15,0.482092334,317.43435559600005
linalg_helper.py,1432,_outprod_to_subspace,218,218,0.8716651470000001,1.063230142
lapack.py,1059,_check_work_float,218,218,0.001147706,0.001147706
_util.py,1203,wrapper,109,109,0.003572879,0.043894499000000003
_decomp.py,284,eigh,109,109,0.014783699,0.039969158000000005
addons.py,190,_convert,139,139,0.033404657000000004,0.043739232
addons.py,60,restore,278,278,0.004638892,0.05193151
rdm.py,123,make_rdm12_spin1,15,15,6.885738049,6.885822705000001
selected_ci.py,175,cre_des_linkstr,120,120,0.25779761,0.274121487
rdm.py,91,make_rdm1_spin1,60,60,0.622011043,0.624730499
direct_spin1.py,178,absorb_h1e,15,15,0.006170238000000001,0.018268156
cistring.py,113,_strs2occslst,30,30,0.004977441,0.005548834000000001
direct_spin1.py,549,_get_init_guess,15,15,0.001682151,0.042436421
direct_spin1.py,847,__init__,15,15,7.5318e-05,7.5318e-05
selected_ci.py,194,des_des_linkstr,60,60,0.20339641,0.257783613
selected_ci.py,48,contract_2e,109,109,50.482976282,50.492866115000005
selected_ci.py,289,make_hdiag,15,15,0.22841538800000002,0.23636013300000003
selected_ci.py,313,kernel_fixed_space,15,15,0.0016729140000000002,317.96603646600005
selected_ci.py,519,make_rdm2s,15,15,6.3273942530000005,6.347117616
bit_array.py,67,__init__,1,1,1.9106e-05,2.2972000000000003e-05
subsampling.py,96,postselect_by_hamming_right_and_left,1,1,0.000550737,0.008777311000000001
ipython-input-3795278461.py,92,work_fn,1,1,0.0027156000000000003,646.9426091380001
fermion.py,476,solve_sci,15,15,0.002125099,448.874932407
fermion.py,66,__post_init__,15,15,0.000146493,0.000211363
subsampling.py,147,subsample,5,5,0.013649364,0.023379672
configuration_recovery.py,59,recover_configurations,4,4,1.3117656,2.0087167960000003
fermion.py,149,diagonalize_fermionic_hamiltonian,1,1,0.036517003,646.9398705660001
configuration_recovery.py,181,_bipartite_bitstring_correcting,400000,400000,87.781894706,181.407573278
fermion.py,377,<lambda>,15,15,6.71e-06,6.71e-06
configuration_recovery.py,162,_p_flip_1_to_0,7963844,7963844,4.885852445,9.383627636
<string>,2,__init__,15,15,0.000187629,0.00039899200000000003
fermion.py,428,_unique_with_order_preserved,20,20,0.00011780900000000001,0.001342047
configuration_recovery.py,131,_p_flip_0_to_1,18400000,18400000,8.686368633,8.686368633
counts.py,45,bit_array_to_arrays,1,1,0.00020390000000000002,0.035232041000000006
counts.py,186,bitstring_matrix_to_integers,30,30,0.0027267320000000004,0.002809413
fermion.py,435,solve_sci_batch,5,5,0.00033012600000000003,448.875262533
bit_array.py,157,num_shots,1,1,3.2920000000000004e-06,3.2920000000000004e-06
bit_array.py,144,array,1,1,8.140000000000001e-07,8.140000000000001e-07
bit_array.py,37,_min_num_bytes,1,1,1.4790000000000002e-06,1.4790000000000002e-06
bit_array.py,149,num_bits,1,1,1.872e-06,1.872e-06
addons.py,822,_unpack_nelec,274,274,0.00058898,0.000918636
selected_ci.py,769,get_init_guess,15,15,0.000183286,0.042820063000000005
selected_ci.py,903,_all_linkstr_index,15,15,0.000166152,0.16767869300000002
addons.py,206,_stand_sym_code,278,278,0.0021415740000000003,0.002351783
direct_spin1.py,920,eig,15,15,0.055285854,317.48966022
selected_ci.py,568,make_rdm2,15,15,0.047819779,130.04961429300002
selected_ci.py,346,hop,109,109,0.002568452,314.205357599
selected_ci.py,812,make_rdm1s,30,30,0.00039815300000000005,0.841781748
selected_ci.py,830,make_rdm2,15,15,0.00024788800000000004,130.049989168
selected_ci.py,758,contract_2e,109,109,0.006039038,314.198436596
logger.py,142,debug,124,124,0.00018608600000000002,0.00018608600000000002
logger.py,146,debug1,33,33,1.7788e-05,1.7788e-05
logger.py,182,timer_debug1,109,109,0.0012795010000000002,0.002356875
logger.py,200,__init__,15,15,4.4461e-05,0.000211177
_sparse.py,10,issparse,109,109,0.00023712800000000002,0.007569244
configuration_recovery.py,122,<genexpr>,18800000,18800000,4.877126724,4.877126724
__init__.py,96,_xla_gc_callback,1104,1104,0.003151624,0.003151624
direct_spin1.py,926,<lambda>,109,109,0.001122821,314.20648042
selected_ci.py,926,_as_SCIvector,248,248,0.000594971,0.0037709320000000003
selected_ci.py,931,_as_SCIvector_if_not,45,45,5.7481e-05,9.996600000000001e-05
selected_ci.py,893,_unpack,184,184,0.000943152,0.0017687
selected_ci.py,484,make_rdm1s,30,30,0.000697827,0.8412438950000001
selected_ci.py,189,cre_des_linkstr_tril,30,30,8.9639e-05,0.057849837
selected_ci.py,230,des_des_linkstr_tril,30,30,0.000157743,0.10966270400000001
selected_ci.py,350,<lambda>,94,94,0.133764096,0.133764096
selected_ci.py,739,__init__,15,15,6.7459e-05,0.00014277700000000002
selected_ci.py,818,make_rdm1,15,15,0.000456333,0.417203551
selected_ci.py,914,__array_finalize__,481,481,0.001852209,0.002306953
_misc.py,181,_datacopied,109,109,5.3149e-05,5.3149e-05
lapack.py,1055,<genexpr>,327,327,0.0005461530000000001,0.001693859
logger.py,219,new_logger,15,15,0.000118256,0.00035585600000000004
blas.py,395,getter,109,109,0.000710669,0.001245681
lapack.py,1025,_compute_lwork,109,109,0.004742443000000001,0.006959423
misc.py,677,check_sanity,15,15,0.000280525,0.000864906
core.py,6607,isMaskedArray,109,109,0.00017055500000000002,0.00022417000000000002
asyncio.py,200,_handle_events,2,2,6.324000000000001e-06,0.001887262
asyncio.py,210,call_at,1,1,2.1416000000000003e-05,5.666e-05
_twodim_base_impl.py,968,<genexpr>,327,327,0.004112867,0.012025452
_linalg.py,493,inv,15,15,0.0008314,0.001517656
_function_base_impl.py,343,iterable,218,218,0.000269945,0.000402258
_function_base_impl.py,245,_flip_dispatcher,4,4,9.02e-07,9.02e-07
_function_base_impl.py,1320,_diff_dispatcher,31,31,1.0065000000000001e-05,1.0065000000000001e-05
_arraysetops_impl.py,139,_unique_dispatcher,1573491,1573491,0.349560076,0.349560076
fromnumeric.py,1959,nonzero,31,31,3.8628000000000004e-05,0.00033851700000000004
fromnumeric.py,824,_argpartition_dispatcher,15,15,1.8641e-05,1.8641e-05
fromnumeric.py,1081,_argsort_dispatcher,25,25,6.785e-06,6.785e-06
fromnumeric.py,1204,_argmax_dispatcher,203,203,7.815900000000001e-05,7.815900000000001e-05
fromnumeric.py,1398,_searchsorted_dispatcher,5,5,3.3920000000000003e-06,3.3920000000000003e-06
fromnumeric.py,1635,_diagonal_dispatcher,30,30,1.2501000000000001e-05,1.2501000000000001e-05
fromnumeric.py,1955,_nonzero_dispatcher,31,31,7.119000000000001e-06,7.119000000000001e-06
fromnumeric.py,2250,_sum_dispatcher,2390521,2390521,0.49091018500000005,0.49091018500000005
fromnumeric.py,2395,_any_dispatcher,94,94,2.657e-05,2.657e-05
fromnumeric.py,2605,_cumsum_dispatcher,1573428,1573428,0.380517784,0.380517784
fromnumeric.py,3063,_prod_dispatcher,790517,790517,0.21902375400000001,0.21902375400000001
einsumfunc.py,1049,_einsum_dispatcher,1856,1856,0.0016792,0.0016792
_stride_tricks_impl.py,354,<genexpr>,654,654,0.000555183,0.000571202
_index_tricks_impl.py,778,__getitem__,4,4,1.901e-06,1.901e-06
_linalg.py,123,_makearray,15,15,6.7533e-05,9.2361e-05
_internal.py,537,_view_is_safe,2,2,1.1026e-05,1.1026e-05
_type_check_impl.py,265,iscomplexobj,109,109,0.000306128,0.00037244700000000003
_type_check_impl.py,168,_is_type_dispatcher,109,109,3.0486000000000003e-05,3.0486000000000003e-05
