filename,lineno,func,prim_calls,total_calls,tottime,cumtime
zmqstream.py,574,_handle_events,2,2,3.6296e-05,0.0019915690000000003
jsonutil.py,108,json_default,2,2,1.0391000000000001e-05,4.7589e-05
zmqstream.py,615,_handle_recv,2,2,1.1105000000000001e-05,0.0016352040000000001
iostream.py,495,_flush,1,1,3.5914e-05,0.00047774000000000004
iostream.py,90,_event_pipe,1,1,4.055e-06,4.055e-06
numeric.py,460,count_nonzero,794620,794620,0.493723689,0.8549601280000001
numeric.py,1373,normalize_axis_tuple,4,4,4.2418e-05,5.0773e-05
_internal.py,448,_promote_fields,1,1,0.00011466900000000001,0.000147057
fromnumeric.py,69,_wrapreduction,3189246,3189246,7.331274509000001,21.614377485000002
numeric.py,1437,moveaxis,2,2,3.2868000000000004e-05,9.991100000000001e-05
_ufunc_config.py,410,__enter__,15,15,6.9755e-05,0.00018142100000000002
_ufunc_config.py,434,inner,1,1,5.4532000000000006e-05,6.0480000000000004e-05
getlimits.py,487,__new__,1589240,1589240,0.965648476,1.6004384520000001
einsumfunc.py,1057,einsum,345,345,0.0013039660000000002,0.185379427
_internal.py,261,__init__,3450,3450,0.007718189,0.007738132000000001
_linalg.py,148,_commonType,15,15,0.00011381500000000001,0.000185631
_function_base_impl.py,249,flip,4,4,3.9441000000000004e-05,5.2914e-05
_stride_tricks_impl.py,349,_broadcast_to,180,180,0.005038414000000001,0.006769494
_arraysetops_impl.py,144,unique,1557950,1557950,3.752284942,30.406846345
_arraysetops_impl.py,342,_unique1d,1557950,1557950,17.063636353,25.07925171
_function_base_impl.py,1324,diff,31,31,0.00047246900000000005,0.000514442
numpy_helper.py,574,transpose,195,195,0.46830830900000003,0.47295262600000004
linalg_helper.py,166,_fill_heff_hermitian,90,90,0.49457281500000005,0.502898834
numpy_helper.py,256,pack_tril,15,15,0.020232972000000002,0.020584801
linalg_helper.py,1409,_qr,15,15,0.044731223,0.053717028
misc.py,702,check_sanity,15,15,0.000258249,0.00033807300000000004
numpy_helper.py,478,take_2d,90,90,0.20539300300000002,0.210262839
linalg_helper.py,1466,_sort_elast,75,75,0.004914503000000001,0.012428577000000001
linalg_helper.py,1490,_normalize_xt_,78,78,0.5470783810000001,0.548748199
_util.py,410,_asarray_validated,90,90,0.0014917810000000002,0.008631257
linalg_helper.py,291,davidson1,15,15,0.29095407,1555.52893578
linalg_helper.py,1432,_outprod_to_subspace,180,180,0.531098049,0.6847595900000001
lapack.py,1059,_check_work_float,180,180,0.0009565190000000001,0.0009565190000000001
_util.py,1203,wrapper,90,90,0.002890057,0.028339775
_decomp.py,284,eigh,90,90,0.010490414,0.025147075
addons.py,190,_convert,120,120,0.060659925,0.070084382
addons.py,60,restore,240,240,0.00417859,0.076444074
rdm.py,123,make_rdm12_spin1,15,15,8.16810101,8.168231135000001
selected_ci.py,175,cre_des_linkstr,120,120,0.26845616,0.285516814
rdm.py,91,make_rdm1_spin1,60,60,0.41696956700000004,0.41991470000000003
direct_spin1.py,178,absorb_h1e,15,15,0.007243521,0.028935513000000003
cistring.py,113,_strs2occslst,30,30,0.0050115920000000005,0.005681268000000001
direct_spin1.py,549,_get_init_guess,15,15,0.001802542,0.043574810000000005
direct_spin1.py,847,__init__,15,15,8.9041e-05,8.9041e-05
selected_ci.py,194,des_des_linkstr,60,60,0.9505963780000001,1.247256641
selected_ci.py,48,contract_2e,90,90,45.220870052,45.272710973
selected_ci.py,289,make_hdiag,15,15,0.23241708800000002,0.239739732
selected_ci.py,313,kernel_fixed_space,15,15,0.0019285690000000002,1608.182854033
selected_ci.py,519,make_rdm2s,15,15,6.043338108,6.089472831
bit_array.py,67,__init__,1,1,2.1571e-05,2.5292e-05
subsampling.py,96,postselect_by_hamming_right_and_left,1,1,0.000536586,0.009530953
ipython-input-3795278461.py,92,work_fn,1,1,0.000244766,2695.639156083
fermion.py,476,solve_sci,15,15,0.024685916000000002,2494.297742024
fermion.py,66,__post_init__,15,15,0.000154208,0.00020644
subsampling.py,147,subsample,5,5,0.014053874000000001,0.024727805000000002
configuration_recovery.py,59,recover_configurations,4,4,1.753496388,51.856392098
fermion.py,149,diagonalize_fermionic_hamiltonian,1,1,0.035151462,2695.6388860250004
configuration_recovery.py,181,_bipartite_bitstring_correcting,400000,400000,89.24693109600001,184.167871033
fermion.py,377,<lambda>,15,15,1.1539e-05,1.1539e-05
configuration_recovery.py,162,_p_flip_1_to_0,8968448,8968448,5.415319498000001,10.386115329
<string>,2,__init__,15,15,0.00021400800000000002,0.000420448
fermion.py,428,_unique_with_order_preserved,20,20,0.000160413,0.001313801
configuration_recovery.py,131,_p_flip_0_to_1,20800000,20800000,9.717517425,9.717517425
counts.py,45,bit_array_to_arrays,1,1,0.00019213000000000002,0.03615451
counts.py,186,bitstring_matrix_to_integers,30,30,0.002857309,0.002929136
fermion.py,435,solve_sci_batch,5,5,0.009062066,2494.3068040900002
bit_array.py,157,num_shots,1,1,3.095e-06,3.095e-06
bit_array.py,144,array,1,1,1.5040000000000001e-06,1.5040000000000001e-06
bit_array.py,37,_min_num_bytes,1,1,1.302e-06,1.302e-06
bit_array.py,149,num_bits,1,1,9.327e-06,9.327e-06
addons.py,822,_unpack_nelec,255,255,0.000613729,0.0009429810000000001
selected_ci.py,769,get_init_guess,15,15,0.0002153,0.043978236000000004
selected_ci.py,903,_all_linkstr_index,15,15,0.000200831,0.53473071
addons.py,206,_stand_sym_code,240,240,0.0009184970000000001,0.001089897
direct_spin1.py,920,eig,15,15,0.028792347000000003,1607.296318477
selected_ci.py,568,make_rdm2,15,15,0.088820963,885.4915374100001
selected_ci.py,346,hop,90,90,0.002280784,1605.024079983
selected_ci.py,812,make_rdm1s,30,30,0.000437149,0.574490434
selected_ci.py,830,make_rdm2,15,15,0.000258269,885.491939705
selected_ci.py,758,contract_2e,90,90,0.018984387000000002,1605.018824594
logger.py,142,debug,105,105,0.000156458,0.000156458
logger.py,146,debug1,33,33,1.8608000000000002e-05,1.8608000000000002e-05
logger.py,182,timer_debug1,90,90,0.000405463,0.0012777300000000001
