filename,lineno,func,prim_calls,total_calls,tottime,cumtime
jsonutil.py,108,json_default,2,2,1.1609e-05,4.1994000000000005e-05
zmqstream.py,615,_handle_recv,2,2,1.0513e-05,0.002008241
iostream.py,495,_flush,1,1,3.0854e-05,0.000473256
iostream.py,90,_event_pipe,1,1,4.084e-06,4.084e-06
numeric.py,460,count_nonzero,795648,795648,0.49551569700000003,0.857442557
numeric.py,1373,normalize_axis_tuple,4,4,3.9516e-05,4.6999e-05
_internal.py,448,_promote_fields,1,1,0.000117887,0.000151044
fromnumeric.py,69,_wrapreduction,3191302,3191302,7.467976373000001,21.983808425000003
numeric.py,1437,moveaxis,2,2,3.3478e-05,9.632500000000001e-05
_ufunc_config.py,410,__enter__,15,15,6.9703e-05,0.00020474500000000002
_ufunc_config.py,434,inner,1,1,4.7354e-05,5.3114e-05
getlimits.py,487,__new__,1591296,1591296,0.975579692,1.619757582
einsumfunc.py,1057,einsum,339,339,0.0013240180000000002,0.190160403
_internal.py,261,__init__,3404,3404,0.007487423000000001,0.007532844
_linalg.py,148,_commonType,15,15,0.000133132,0.000207944
_function_base_impl.py,249,flip,4,4,3.9558e-05,5.7429e-05
_stride_tricks_impl.py,349,_broadcast_to,176,176,0.004292678,0.006036928
_arraysetops_impl.py,144,unique,1592154,1592154,3.843081127,31.231861331
_arraysetops_impl.py,342,_unique1d,1592154,1592154,17.561147841,25.772159206
_function_base_impl.py,1324,diff,31,31,0.00038338,0.00042022600000000005
numpy_helper.py,574,transpose,191,191,0.42038949400000003,0.42471961100000005
linalg_helper.py,166,_fill_heff_hermitian,88,88,0.5580113,0.5635111380000001
numpy_helper.py,256,pack_tril,15,15,0.006951062,0.007270488
linalg_helper.py,1409,_qr,15,15,0.056616660000000006,0.070717759
misc.py,702,check_sanity,15,15,0.000286982,0.00036714100000000003
numpy_helper.py,478,take_2d,88,88,0.206600909,0.21125137100000002
linalg_helper.py,1466,_sort_elast,73,73,0.004737393,0.008061126
linalg_helper.py,1490,_normalize_xt_,76,76,0.514394174,0.516048085
_util.py,410,_asarray_validated,88,88,0.0015104130000000002,0.010417544
linalg_helper.py,291,davidson1,15,15,0.306005505,1535.0813919060001
linalg_helper.py,1432,_outprod_to_subspace,176,176,0.508800936,0.6603125870000001
lapack.py,1059,_check_work_float,176,176,0.0008962140000000001,0.0008962140000000001
_util.py,1203,wrapper,88,88,0.002870207,0.032514349000000005
_decomp.py,284,eigh,88,88,0.012961855000000001,0.029336112
addons.py,190,_convert,118,118,0.069448935,0.07979918600000001
addons.py,60,restore,236,236,0.006073258000000001,0.089065486
rdm.py,123,make_rdm12_spin1,15,15,4.78415676,4.7843079610000006
selected_ci.py,175,cre_des_linkstr,120,120,0.282139972,0.301685232
rdm.py,91,make_rdm1_spin1,60,60,0.398143813,0.400891402
direct_spin1.py,178,absorb_h1e,15,15,0.006953381000000001,0.027896554
cistring.py,113,_strs2occslst,30,30,0.005237184000000001,0.0058833800000000006
direct_spin1.py,549,_get_init_guess,15,15,0.001513411,0.027692674
direct_spin1.py,847,__init__,15,15,8.36e-05,8.36e-05
selected_ci.py,194,des_des_linkstr,60,60,0.938275194,1.285794248
selected_ci.py,48,contract_2e,88,88,41.364896944,41.375811261
selected_ci.py,289,make_hdiag,15,15,0.264908917,0.273363921
selected_ci.py,313,kernel_fixed_space,15,15,0.0017558370000000001,1536.009711226
selected_ci.py,519,make_rdm2s,15,15,5.220396419,5.235001699000001
bit_array.py,67,__init__,1,1,2.0669e-05,2.4655e-05
subsampling.py,96,postselect_by_hamming_right_and_left,1,1,0.00057008,0.009408439000000001
ipython-input-3795278461.py,92,work_fn,1,1,0.000350267,2592.16587463
